equipment_class,equipment_id,terminal,original_bus,reduced_bus
capacitor,c83,bus,83,83
capacitor,c88a,bus,88,67
capacitor,c90b,bus,90,67
capacitor,c92c,bus,92,67
transformer,reg1a,from,150,150
transformer,reg1a,to,150r,150r
transformer,xfm1,from,61s,61s
transformer,xfm1,to,610,610
transformer,reg2a,from,9,9
transformer,reg2a,to,9r,9r
transformer,reg3a,from,25,25
transformer,reg3a,to,25r,25r
transformer,reg4a,from,160,160
transformer,reg4a,to,160r,160r
transformer,reg3c,from,25,25
transformer,reg3c,to,25r,25r
transformer,reg4b,from,160,160
transformer,reg4b,to,160r,160r
transformer,reg4c,from,160,160
transformer,reg4c,to,160r,160r
switch,sw1,from,150r,150r
switch,sw1,to,149,149
switch,sw2,from,13,13
switch,sw2,to,152,152
switch,sw3,from,18,18
switch,sw3,to,135,135
switch,sw4,from,60,60
switch,sw4,to,160,160
switch,sw5,from,97,97
switch,sw5,to,197,197
switch,sw6,from,61,61
switch,sw6,to,61s,61s
switch,sw7,from,151,35
switch,sw7,to,300,197
switch,sw8,from,54,52
switch,sw8,to,94,67
regulator,creg1a,from,150,150
regulator,creg1a,regulated,150r,150r
regulator,creg2a,from,9,9
regulator,creg2a,regulated,9r,9r
regulator,creg3a,from,25,25
regulator,creg3a,regulated,25r,25r
regulator,creg3c,from,25,25
regulator,creg3c,regulated,25r,25r
regulator,creg4a,from,160,160
regulator,creg4a,regulated,160r,160r
regulator,creg4b,from,160,160
regulator,creg4b,regulated,160r,160r
regulator,creg4c,from,160,160
regulator,creg4c,regulated,160r,160r
