bus_id,phase,v_re_pu,v_im_pu,v_mag_pu,v_angle_deg
150,a,1,0,1,0
150,b,-0.5,-0.866025403784439,1,-120
150,c,-0.5,0.866025403784439,1,120
1,a,1.0333391943913,-0.0116601980705479,1.03340497912692,-0.646498060152156
1,b,-0.526614539758418,-0.900747608893745,1.04339308432286,-120.312333431643
1,c,-0.512496301037564,0.901377241768961,1.0368863923093,119.621272924862
10,a,1.00810884278779,-0.0264886594121151,1.00845678538269,-1.50513436180462
100,a,1.0380890319055,-0.0693961327086174,1.04040600795911,-3.824525911404
100,b,-0.550263065533668,-0.873425871844514,1.0323091566473,-122.211151548875
100,c,-0.479456774466921,0.918580721593319,1.03618016805241,117.56248239695
101,a,1.03694577306597,-0.0700732194291424,1.03931072945512,-3.86597357125189
101,b,-0.550887492014571,-0.874066459254825,1.0331840126775,-122.221514044713
101,c,-0.480575651971999,0.918459470512317,1.03659093004043,117.620408650584
102,c,-0.479480179550969,0.91741569629792,1.03515834653256,117.593468540626
103,c,-0.478213880168779,0.916208745778492,1.03350228883495,117.562244905412
104,c,-0.476849382575564,0.914907410706282,1.03171745348616,117.528508015405
105,a,1.03558634343119,-0.0707196086863059,1.0379982359108,-3.90663128759926
105,b,-0.551473409580485,-0.873517170620888,1.03303202701748,-122.265250480637
105,c,-0.48116291138163,0.918456697031904,1.03686086415295,117.649232808072
106,b,-0.551190857414582,-0.872337730884499,1.03188394600466,-122.286944789555
107,b,-0.550829185997372,-0.870829681494587,1.03041599673069,-122.31473526964
108,a,1.0340423310823,-0.0718618985549015,1.03653638379655,-3.97544078158214
108,b,-0.552012448913536,-0.873941002185176,1.03367819898455,-122.277973987707
108,c,-0.481740427276568,0.917981292190028,1.03670800714738,117.689698322691
109,a,1.02985991058621,-0.0730069411192453,1.03244440474256,-4.05492390140692
11,a,1.00776896634562,-0.0265850243524518,1.00811956287394,-1.51111668820458
110,a,1.02785245883589,-0.0735643769967045,1.0304816323923,-4.09373298265016
111,a,1.02710203489231,-0.0737615624314488,1.02974723023286,-4.10765726384834
112,a,1.02717914320445,-0.0737537607002722,1.02982358171274,-4.10691701931876
113,a,1.02504167624817,-0.0743137097214491,1.0277319521637,-4.14658808265824
114,a,1.02461642001845,-0.0744250687948396,1.02731587111099,-4.15449755510051
12,b,-0.53163365228714,-0.894166171034349,1.04027279194757,-120.733938712525
13,a,1.00981818555631,-0.0330367995740021,1.0103584502573,-1.87379701189508
13,b,-0.534253273286361,-0.890473970674802,1.03844617215652,-120.962284704638
13,c,-0.49405997605446,0.894376204113801,1.02176516598676,118.916582573961
135,a,1.00067101201838,-0.0402854506608255,1.00148159834758,-2.30539357179689
135,b,-0.535961909036025,-0.884666798737403,1.03435511925345,-121.208938493748
135,c,-0.489365414419406,0.888421459566107,1.01428358886825,118.847104944604
14,a,1.00843764287909,-0.0263765467190975,1.00878253444058,-1.49827837548213
149,a,1.04574805653469,-9.28702637851488e-06,1.04574805657593,-0.000508829456939018
149,b,-0.522880068346802,-0.905642609706786,1.04574954094701,-120.000335171142
