bus_id,super_node,kept
sourcebus,sourcebus,1
_hvmv_sub_lsb,_hvmv_sub_lsb,1
hvmv_sub_48332,_hvmv_sub_lsb,0
m1009763,m1009763,1
l2673322,l2673322,1
m1069148,m1069148,1
l2673309,l2673309,1
m1069588,m1069588,1
l2804270,l2804270,1
m3036164,m3036164,1
l2935553,l2935553,1
m1209749,m1209750,0
l2748840,l2748840,1
m1108264,m1089097,0
m1108263,m1089097,0
l3085398,l3085398,1
m1026891,m1026891,1
l3216367,l3216367,1
m1069468,m1069468,1
m1142800,l2767409,0
m1142799,l2767409,0
m1047592,m1047592,1
p827512,m1047592,0
m1047339,m1047339,1
p895104,m1047339,0
m1026915,m1026915,1
m1026920,m1026920,1
n1138596,e182722,0
l3254207,l3254207,1
m1069464,m1069464,1
p873787,m1069464,0
n1144665,l2897777,0
m1047515,l2897777,0
n1137002,m1047702,0
m1047707,m1047702,0
l2729406,l2729406,1
l2897768,l2897768,1
l3649301,l3649301,1
l3649302,l3649302,1
l2970842,m1089119,0
m1089113,m1089113,1
m1047312,m1047312,1
p893163,m1047312,0
l2822871,l2822871,1
m1026872,l2822871,0
m1026312,l2763072,0
l2973163,l2973163,1
l3728038,l3728038,1
l3728039,l3728039,1
m1069567,m1069567,1
m1069582,m1069582,1
n1140830,m1026690,0
l3216351,l3216351,1
l2952007,l2952007,1
l2861158,l2861158,1
n1140827,l3216368,0
m1026726,m1026726,1
l2730106,l2730106,1
n1142099,l2730106,0
m1026658,m1026658,1
l3172805,l3172805,1
p895112,m1142865,0
l3048962,l3048962,1
l2991914,l2991914,1
m1047503,l2991914,0
m1047751,m1047755,0
l2973154,l2973154,1
l3010565,l3010565,1
l2897775,l2897775,1
m1125955,m1125955,1
m1125957,m1125955,0
m1069640,m1069640,1
l2804269,l2804269,1
m1026702,m1026702,1
n1139551,m1026702,0
n1136355,m1069533,0
l2783231,l2783231,1
l2748143,l2748143,1
l3251854,l3251854,1
m1069610,m1069610,1
m1069600,m1069610,0
m1069424,m1069424,1
l2935549,l2935549,1
p895089,m1089213,0
l3235242,l3235242,1
m1026795,m1026795,1
n1140522,m1026795,0
l3030199,l3030199,1
m1125934,l3030199,0
m1069189,m1069189,1
l2860487,l2860487,1
221-312488,l2896685,0
m1089183,l2896685,0
m1108464,l3233413,0
l3102286,l3102286,1
f739845,f739845,1
293471,293471,1
p827499,m1069420,0
n1139254,m1069420,0
m1026657,m1026660,0
m1026656,m1026660,0
m1108299,m1108298,0
m1108300,m1108298,0
l3198355,l3198355,1
l2805037,l3198355,0
n1137994,m1069483,0
m1069484,m1069483,0
l2860504,l2860504,1
l2860493,l2860493,1
m1026783,m1026783,1
m1026780,m1026783,0
p895111,m1142874,0
l2895496,m1142874,0
n1140819,l2973167,0
m1026700,m1026700,1
m1089173,m1089173,1
l2935551,l2935551,1
m1026344,m1026344,1
m1026364,m1026344,0
l2879070,l2879070,1
l3216345,l3216345,1
m1069428,m1069428,1
n1139257,m1069428,0
l2991919,l2991919,1
m1026361,m1026361,1
n1147857,m1009770,0
m1009742,m1009770,0
q14412,q14412,1
m1047325,m1047325,1
n1139263,m1069469,0
l3048227,l3048227,1
p827506,m1069468,0
m1069469,m1069469,1
m1027019,l2860506,0
l2785522,l2785522,1
l3216338,l3216338,1
l2973146,l2973146,1
m3037452,m3037452,1
l2973164,l2973164,1
l3120376,l3120376,1
m1026925,m1026925,1
m1047612,m1047613,0
p828360,m1047613,0
m1089195,l3235242,0
l3141393,l3141393,1
m1026946,m1026948,0
m1026940,m1026940,1
m1047471,m1047471,1
l3216349,l3216349,1
m1047401,m1047401,1
l2748132,l2748132,1
l3122820,l3122820,1
l3141398,l3141398,1
m1108360,m1108350,0
l3048968,l3048968,1
l2801950,l3235266,0
m1069224,m1069224,1
l2766746,l2766746,1
m1027073,m1027073,1
m1142873,m1142874,0
m1069181,m1069181,1
l2973151,l2973151,1
l3179682,l3179682,1
l2786274,l2786274,1
l3066816,l3066816,1
m1026667,l3066816,0
m1108529,m1108529,1
m1108532,m1108532,1
l2766723,l2766723,1
l3122822,l3122822,1
l2673312,l2673312,1
l3235247,l3235247,1
m1166391,m1166391,1
l3254873,l3254873,1
l2861157,l2861157,1
p901951,l2861157,0
m1047346,m1047346,1
m1047345,m1047345,1
l2989596,m1069565,0
l2822873,l2822873,1
m1108328,m1108328,1
l2875754,l2875754,1
l2786204,l2786204,1
m1209819,l2786204,0
p901972,m1009770,0
m1009726,m1009726,1
m1047702,m1047702,1
n1137001,m1047702,0
l2767340,l2767340,1
m3037449,l2767340,0
m1047457,m1047457,1
l2710546,l2710546,1
l2674027,l2674027,1
l2692633,l2692633,1
n1142108,m1125904,0
l2674051,l2674051,1
m1069135,m1069135,1
r18242,m1069135,0
m1047534,m1047534,1
n1136663,m1047534,0
m1108508,m1108520,0
l3097861,l3097861,1
m1069560,m1069560,1
l2973153,l2973153,1
n1136998,l2973153,0
l2898515,l2898515,1
m1166387,m1166387,1
m1047442,m1047442,1
l3235250,l3235250,1
m1142871,m1142871,1
m1142874,m1142874,1
l2955081,l2955081,1
m1108315,m1108315,1
l2973162,l2973162,1
m1026333,m1026333,1
m1009832,m1009832,1
l2860479,l2860479,1
m1026854,m1026854,1
p901894,m1026854,0
m1026485,m1026485,1
m1026492,m1026485,0
d6413567-3_int,d6413567-3_int,1
e182724,e182724,1
n1139541,m1069175,0
m4122658,l3232902,0
l2933135,l2933135,1
l2729414,l2729414,1
l2729430,l2729430,1
l2766742,l2766742,1
m1026972,m1026969,0
l2860483,l2860483,1
l2860490,l2860490,1
l3104134,l3104134,1
m1089144,m1089143,0
p827522,m1089143,0
m1089118,m1089118,1
l3048208,l3048208,1
m1108505,m1108505,1
l2955047,l2955047,1
m1089148,m1089148,1
l2766721,l2766721,1
m1026745,m1026699,0
l3029183,l3029183,1
l2710512,l2710512,1
m1047828,m1047828,1
m1047342,m1047340,0
l3197645,l3197645,1
m1069192,m1069192,1
l3235253,l3235253,1
l3214071,l3214071,1
m1125952,m1125952,1
m1027101,m1027101,1
l2860480,l2860480,1
l2710517,l2710517,1
m1026646,m1026646,1
m1069662,l2897789,0
l2935547,l2935547,1
m1026931,m1026931,1
l3216336,l3216336,1
l3142049,l3142049,1
m1108493,l3142049,0
m1069169,m1069169,1
l3010556,l3010556,1
l2991933,l2991933,1
l3122837,l3122837,1
l2691936,l2691936,1
l2897772,l2897772,1
l3101814,l2897772,0
l2766732,l2766732,1
l2989564,l2989564,1
m1126016,m1126016,1
l3120534,m1126016,0
m1026330,m1026330,1
l2766726,l2766726,1
p901912,l3160109,0
l3195365,l3160109,0
m1108381,m1108381,1
l3254237,l3254237,1
l2804262,l2804262,1
l2841639,l2841639,1
n1230123,m1108380,0
l2708744,l2708744,1
m1069519,m1069519,1
p901927,m1069519,0
l2897790,l2897790,1
l2935566,l2935566,1
l3216337,l3216337,1
p901931,m1069549,0
m1069548,m1069548,1
m1010013,m1010014,0
l3120503,l3120503,1
m1089145,m1089145,1
l3215385,l3215385,1
m1026852,m1026852,1
m1069420,m1069420,1
l3157708,l3157708,1
n1137991,l3157708,0
m1108413,l3233412,0
m1108460,l3233412,0
p827532,m1047325,0
m1047326,m1047326,1
e182732,e182732,1
m1026760,e182732,0
l3048205,l3048205,1
m1108361,m1108361,1
m3036169,m3036169,1
l2673317,l2673317,1
l3178981,l3178981,1
m1047368,m1047368,1
n1136354,m1069519,0
l2879794,l2879794,1
m1142811,m1142811,1
m1069565,m1069565,1
l2785536,l2785536,1
l3104114,l3104114,1
m1009824,m1009824,1
l2745848,m1069481,0
l2673308,l2673308,1
l2991939,l2991939,1
l2916606,l2916606,1
l2822864,l2822864,1
m1142851,l2955077,0
196-31070,l2955077,0
m1209822,m1209822,1
m1209823,m1209822,0
m1069550,m1069550,1
m1069551,m1069551,1
l3141397,l3141397,1
l3649299,l3649299,1
m3772794,m3772794,1
p895106,m1125976,0
l3048887,l3048887,1
m1047824,m1047824,1
m1047834,m1047834,1
m1069350,l3143999,0
n1144668,l3143999,0
l2879072,l2879072,1
m1047441,m1047441,1
m1108274,m1108274,1
m1108269,m1108274,0
l3235244,l3235244,1
m1069398,m1069398,1
n1147862,m1026866,0
l2685805,l2685805,1
m1069247,l2821770,0
m1069248,l2821770,0
l2786273,l2786273,1
m1108278,m1108278,1
l3254238,l3254238,1
m1047303,m1047303,1
m1047633,l2766499,0
l2897554,l2897554,1
m1069627,m1069627,1
l2897791,l2897791,1
m1089097,m1089097,1
m1108270,m1089097,0
n1142101,m1108489,0
l2936214,l2936214,1
l3066810,l3066810,1
l2897769,l2897769,1
m1209758,l3179674,0
m1209753,m1209753,1
m1047528,m1047521,0
l2858166,l2858166,1
m1142843,m1142843,1
l3081380,l3081380,1
l2804272,l2804272,1
l2841641,l2841641,1
m1069393,m1069393,1
m1069408,m1069408,1
n1142104,l3104830,0
m1108500,l3104830,0
l3216348,l3216348,1
l2841627,l2841627,1
l2916599,l2916599,1
m1047447,m1047447,1
l2954349,l2954349,1
l3235246,l3235246,1
m1125911,l3068944,0
l2711224,l2711224,1
n1147863,m1026891,0
l3122817,l3122817,1
m1186061,m1186061,1
l2861223,l2861223,1
m1069130,m1069130,1
l3085396,l3085396,1
e182730,e182730,1
n1142109,e182730,0
m1069417,m1069417,1
n1138597,m1069417,0
m1026987,m1026987,1
m1026990,m1026987,0
m1142832,m1142832,1
l3160865,l3160865,1
l2673323,l2673323,1
m1009809,l2673323,0
l2822869,l2822869,1
m1026808,m1026808,1
m1047825,m1047825,1
m1069731,m1069731,1
n1140520,m1026808,0
l2729410,l2729410,1
l3178978,l3178978,1
m1069384,m1069384,1
l3066805,l3066805,1
m4362181,l2710546,0
m1047319,m1047319,1
m1047318,m1047318,1
l3216358,l3216358,1
m1026826,m1026826,1
m1108276,m1108274,0
m1089198,m1089197,0
m1089201,m1089197,0
m1047763,m1047763,1
n1136027,m1047763,0
l3101827,m1108529,0
m1108540,m1108540,1
m1026335,m1026333,0
l2804259,l2804259,1
n1136357,m1069548,0
m1047513,m1047513,1
m1047507,m1047507,1
m1142863,m1142863,1
n1141480,m1142863,0
m1125916,m1125916,1
l2879767,l2879767,1
l3066809,l3066809,1
m1069487,m1069487,1
m1142818,m1142818,1
p829965,m1142818,0
q14733,q14733,1
m1047568,m1047568,1
m1047322,m1047326,0
l2954338,l2954338,1
m1047409,m1047409,1
l2841648,l2841648,1
m1089177,m1089177,1
m1026951,m1026948,0
l2954347,l2954347,1
m4122657,l2745811,0
l3027124,l3027124,1
m1069419,m1069420,0
m1069418,m1069420,0
m1026824,m1026824,1
p859694,m1026824,0
m1047453,m1047453,1
l2691948,l2691948,1
p860892,m1089122,0
n1139543,m1089122,0
m1089205,m1089205,1
n1134472,m1089205,0
l2710542,l2710542,1
m3032980,m3032980,1
m3032977,m3032980,0
m3763618,m3763624,0
p1121282,m3763624,0
l2917330,l2917330,1
l2861222,l2861222,1
m1047490,m1047490,1
p1164481,m1047490,0
m1069356,m4113347,0
m1069363,m4113347,0
p828359,m1047613,0
l2878848,l2878848,1
m1047486,m1047486,1
l3177665,l3177665,1
l2805036,l2805036,1
l2692654,l2692654,1
m1125929,l2692654,0
m1047669,l2973153,0
m1047672,m1047672,1
m1125919,m1125919,1
p829961,m1125919,0
m1142819,m1142819,1
p829960,m1142819,0
p829979,m1186063,0
m3036172,m3036172,1
m1026883,l3342743,0
m1026898,l3342743,0
m1089143,m1089143,1
l3141400,l3141400,1
m1069481,m1069481,1
p827507,m1069481,0
m1026377,m1026377,1
l3048210,l3048210,1
e182722,e182722,1
m1026331,m1026331,1
l3214055,l3214055,1
m1108295,l3011298,0
l2936279,l2936279,1
m1026704,m1026704,1
l2841634,l2841634,1
m1047386,m1047386,1
m1047379,m1047386,0
m1089115,m1089115,1
m1026486,m1026486,1
m1026488,m1026486,0
l3010570,l3010570,1
p904451,m1108378,0
221-282819,m1108378,0
m1125968,m1125968,1
p895107,m1125968,0
n1136999,m1047672,0
m1069412,m1069412,1
l2879061,l2879061,1
m1026947,m1026948,0
m1142880,m1142880,1
l2891575,l2891575,1
m1026848,m1026848,1
m1026847,m1026848,0
l2897793,l2897793,1
m1069521,m1069521,1
m1069175,m1069175,1
l3197637,l3197637,1
l3197635,l3197635,1
l2804257,l2804257,1
l2860485,l2860485,1
l3235945,l3235945,1
l2842330,l2842330,1
l2804254,l2804254,1
m1047752,l2804254,0
m1166370,m1166370,1
m1166364,m1166370,0
m3763619,m3763619,1
m3037540,m3037540,1
l2710509,l2710509,1
l2763072,l2763072,1
m4118754,l2763072,0
m1089196,m1089197,0
m1047484,m1047486,0
l3010560,l3010560,1
l3254219,l3254219,1
l3254220,l3254220,1
m1026648,m1026648,1
m1026647,m1026648,0
m1089112,m1089112,1
l2691951,l2691951,1
m1108433,l3102286,0
228-1048090-1_int,l3102286,0
m1026327,m1026327,1
l2841636,l2841636,1
l2990826,l2990826,1
l2911069,l2911069,1
l2948732,l2948732,1
m1108260,m1089097,0
m1108259,m1089097,0
m1069312,m1069312,1
p873800,m1069312,0
m1186078,l2861157,0
l2876797,l2876797,1
r18241,l2876797,0
l3254227,l3254227,1
m3037455,m3037455,1
l3217052,l3217052,1
p827500,m1069424,0
l2822861,l2822861,1
m1047724,m1047724,1
m1047722,m1047722,1
d5534969-2_int,d5534969-2_int,1
e182729,e182729,1
n1134477,l3066814,0
m1166355,m1166361,0
l2858200,m1166361,0
m1047699,m1047699,1
l2935554,l2935554,1
m1047292,m1047292,1
l2766750,l2766750,1
l3649300,l3649300,1
m1047733,l2973150,0
l3066804,l3066804,1
m3327098,m3327098,1
l2691943,l2691943,1
p829986,m1125902,0
m1125904,m1125904,1
n1139550,m3036169,0
m1026307,m1008753,0
l3085388,l3085388,1
l3233413,l3233413,1
l3122827,l3122827,1
l2954355,l2954355,1
p827576,m1069428,0
n1139256,m1069428,0
l2952003,l2952003,1
n1136359,m1069556,0
l3008237,l3008237,1
m1089102,l3626914,0
m1089096,l3626914,0
p895102,m1125969,0
m1125978,m1125978,1
m1026706,m1026706,1
n1140825,m1026706,0
l3141399,l3141399,1
m1069210,l3141399,0
m3763624,m3763624,1
p1121283,m3763624,0
m1142839,m1142839,1
l3067507,l3067507,1
n1141478,m1142819,0
m1142826,m1142826,1
m1108334,m1108331,0
l2692664,l2692664,1
l2823544,l2823544,1
226-23751,m1125902,0
p827536,m1026851,0
n1137999,m1026851,0
l3027157,m1047737,0
l2973155,l2973155,1
m1186052,l3139366,0
198-5320,l3139366,0
l3216346,l3216346,1
l2858163,l2858163,1
m1047813,l2785512,0
l2973149,l2973149,1
l3086079,l3086079,1
m1069574,m1069572,0
l2710530,l2710530,1
m1069285,m1069311,0
m4113348,m4113348,1
l2879074,l2879074,1
m1026916,m1026915,0
e193509,e193509,1
m1047794,m1047794,1
m1047796,m1047794,0
l3027116,l3027116,1
l2929261,l2929261,1
m1166375,m1166375,1
p895080,m1166375,0
l2973156,l2973156,1
m1069311,m1069311,1
m1069208,m1069208,1
l2691945,l2691945,1
n1140820,m1026700,0
m1026468,m1026468,1
p901909,m1026468,0
m1026662,m1026662,1
n1141473,m1026662,0
m1026941,m1026941,1
m1026942,m1026942,1
n1137985,m1047722,0
m1047713,m1047713,1
m1047720,m1047720,1
m1108298,m1108298,1
196-36167,m1108298,0
e183472,e183472,1
l2989566,l2989566,1
m1010007,m1010011,0
m1010004,m1010004,1
p862322,m1108381,0
m1089188,m1089188,1
m1089189,m1089188,0
l2972704,l2972704,1
l3263051,l3263051,1
n1139544,m1069225,0
l2897776,l2897776,1
n1230122,m1108378,0
l2689726,l2748132,0
