row,col,g,b
1,1,333.30000333299995,-33330.000333299999
4,1,-321.2530152607228,32125.301526072286
2,2,333.30000333299995,-33330.000333299999
5,2,-321.2530152607228,32125.301526072286
3,3,333.30000333299995,-33330.000333299999
6,3,-321.2530152607228,32125.301526072286
1,4,-321.2530152607228,32125.301526072286
4,4,1154016.308127159,-30964.146049226296
7,4,-1153706.6666666667,0
2,5,-321.2530152607228,32125.301526072286
5,5,1154016.308127159,-30964.146049226296
8,5,-1153706.6666666667,0
3,6,-321.2530152607228,32125.301526072286
6,6,1154016.308127159,-30964.146049226296
9,6,-1153706.6666666667,0
4,7,-1153706.6666666667,0
7,7,1153714.0768906807,-15.365347432691427
8,7,-3.5994460807116941,5.2745301246901954
9,7,-1.298863956003026,3.4261219345116132
10,7,-7.4102240139182189,15.365347680754365
11,7,3.5994460807116941,-5.2745302047441909
12,7,1.298863956003026,-3.4261219650229391
5,8,-1153706.6666666667,0
7,8,-3.5994460807116941,5.2745301246901954
8,8,1153714.9529843419,-15.92249185080435
9,8,-2.2048112898970258,4.1815827067136278
10,8,3.5994460807116941,-5.2745302047441909
11,8,-8.2863176751844705,15.922492112169566
12,8,2.2048112898970258,-4.1815827576022562
6,9,-1153706.6666666667,0
7,9,-1.298863956003026,3.4261219345116132
8,9,-2.2048112898970258,4.1815827067136278
9,9,1153713.3241070998,-14.828924587300945
10,9,1.298863956003026,-3.4261219650229391
11,9,2.2048112898970258,-4.1815827576022562
12,9,-6.6574404329267889,14.828924823154111
7,10,-7.4102240139182189,15.365347680754365
8,10,3.5994460807116941,-5.2745302047441909
9,10,1.298863956003026,-3.4261219650229391
10,10,17.290522699142517,-35.852477487650049
11,10,-8.3987075216606186,12.30723700430862
12,10,-3.030682564007062,7.994284531658705
14,10,-9.8802986852242984,20.487130241005826
15,10,4.7992614409489249,-7.0327069396589206
16,10,1.7318186080040361,-4.5681626200305878
7,11,3.5994460807116941,-5.2745302047441909
8,11,-8.2863176751844705,15.922492112169566
9,11,2.2048112898970258,-4.1815827576022562
10,11,-8.3987075216606186,12.30723700430862
11,11,19.334741242097092,-37.152480964866541
12,11,-5.1445596764263941,9.757026345350166
14,11,4.7992614409489249,-7.0327069396589206
15,11,-11.048423566912629,21.229989482892755
16,11,2.9397483865293692,-5.5754436768030091
7,12,1.298863956003026,-3.4261219650229391
8,12,2.2048112898970258,-4.1815827576022562
9,12,-6.6574404329267889,14.828924823154111
10,12,-3.030682564007062,7.994284531658705
11,12,-5.1445596764263941,9.757026345350166
12,12,24.574475581944107,-43.765737945226469
13,12,-9.0404479051149291,9.1649138940432344
14,12,1.7318186080040361,-4.5681626200305878
15,12,2.9397483865293692,-5.5754436768030091
16,12,-8.8765872439023887,19.771899764205482
12,13,-9.0404479051149291,9.1649138940432344
13,13,9.0404479051149487,-9.1649130053232781
10,14,-9.8802986852242984,20.487130241005826
11,14,4.7992614409489249,-7.0327069396589206
12,14,1.7318186080040361,-4.5681626200305878
14,14,24.700746713060742,-51.217825292435869
15,14,-11.998153602372311,17.58176724907981
16,14,-4.3295465200100889,11.420406511937308
17,14,-14.820448027836438,30.730695361508729
18,14,7.1988921614233874,-10.549060409488382
19,14,2.5977279120060519,-6.8522439300458782
10,15,4.7992614409489249,-7.0327069396589206
11,15,-11.048423566912629,21.229989482892755
12,15,2.9397483865293692,-5.5754436768030091
14,15,-11.998153602372311,17.58176724907981
15,15,27.621058917281562,-53.074973380525371
16,15,-7.3493709663234199,13.938609128396738
17,15,7.1988921614233874,-10.549060409488382
18,15,-16.572635350368941,31.844984224339132
19,15,4.4096225797940516,-8.3631655152045123
10,16,1.7318186080040361,-4.5681626200305878
11,16,2.9397483865293692,-5.5754436768030091
12,16,-8.8765872439023887,19.771899764205482
14,16,-4.3295465200100889,11.420406511937308
15,16,-7.3493709663234199,13.938609128396738
16,16,22.191468109755974,-49.429749115697248
17,16,2.5977279120060519,-6.8522439300458782
18,16,4.4096225797940516,-8.3631655152045123
19,16,-13.314880865853578,29.657849646308222
14,17,-14.820448027836438,30.730695361508729
15,17,7.1988921614233874,-10.549060409488382
16,17,2.5977279120060519,-6.8522439300458782
17,17,34.745688829855098,-61.401062841393923
18,17,-11.998153602372311,17.58176724907981
19,17,-4.3295465200100889,11.420406511937308
20,17,-10.044942116794363,10.183237660048038
21,17,-9.8802986852242984,20.487130241005826
22,17,4.7992614409489249,-7.0327069396589206
23,17,1.7318186080040361,-4.5681626200305878
14,18,7.1988921614233874,-10.549060409488382
15,18,-16.572635350368941,31.844984224339132
16,18,4.4096225797940516,-8.3631655152045123
17,18,-11.998153602372311,17.58176724907981
18,18,27.621058917281566,-53.074973158345387
19,18,-7.3493709663234199,13.938609128396738
21,18,4.7992614409489249,-7.0327069396589206
22,18,-11.048423566912629,21.229989482892755
23,18,2.9397483865293692,-5.5754436768030091
14,19,2.5977279120060519,-6.8522439300458782
15,19,4.4096225797940516,-8.3631655152045123
16,19,-13.314880865853578,29.657849646308222
17,19,-4.3295465200100889,11.420406511937308
18,19,-7.3493709663234199,13.938609128396738
19,19,22.191468109755974,-49.429749115697248
21,19,1.7318186080040361,-4.5681626200305878
22,19,2.9397483865293692,-5.5754436768030091
23,19,-8.8765872439023887,19.771899764205482
17,20,-10.044942116794363,10.183237660048038
20,20,14.04419583667238,-4009.4369574269735
24,20,-3.9992537198780149,3999.253719878016
17,21,-9.8802986852242984,20.487130241005826
18,21,4.7992614409489249,-7.0327069396589206
19,21,1.7318186080040361,-4.5681626200305878
21,21,1153720.5645739541,-28.207125644585972
22,21,-5.868260919311747,9.0601407558032854
23,21,-3.4770045765558582,7.1255104176212072
27,21,-4.0176086022712472,7.719996128693106
28,21,1.0689994783628221,-2.0274339811426541
29,21,1.7451859685518221,-2.5573479855854782
119,21,-1153706.6666666667,0
17,22,4.7992614409489249,-7.0327069396589206
18,22,-11.048423566912629,21.229989482892755
19,22,2.9397483865293692,-5.5754436768030091
21,22,-5.868260919311747,9.0601407558032854
22,22,1153720.9429401725,-28.419770492156974
23,22,-3.5695005932357682,7.2365936447395427
27,22,1.0689994783628221,-2.0274339811426541
28,22,-3.2278499386984838,7.1897816917352779
29,22,0.62975220670639898,-1.661150069032614
120,22,-1153706.6666666667,0
17,23,1.7318186080040361,-4.5681626200305878
18,23,2.9397483865293692,-5.5754436768030091
19,23,-8.8765872439023887,19.771899764205482
21,23,-3.4770045765558582,7.1255104176212072
22,23,-3.5695005932357682,7.2365936447395427
23,23,1153734.2035029624,-42.496621046780554
26,23,-15.067413175191547,15.274856490072056
27,23,1.7451859685518221,-2.5573479855854782
28,23,0.62975220670639898,-1.661150069032614
29,23,-3.5928358765285822,7.4498655550826989
121,23,-1153706.6666666667,0
20,24,-3.9992537198780149,3999.253719878016
24,24,9.3171642522985643,-4004.6448454882056
25,24,-5.3179105324205471,5.3911258200254322
24,25,-5.3179105324205471,5.3911258200254322
25,25,5.3179105324205445,-5.3911251164554663
23,26,-15.067413175191547,15.274856490072056
26,26,15.067413175191565,-15.27485560135208
21,27,-4.0176086022712472,7.719996128693106
22,27,1.0689994783628221,-2.0274339811426541
