equipment_class,equipment_id,terminal,original_bus,reduced_bus
capacitor,c844,bus,844,832
capacitor,c848,bus,848,832
transformer,subxf,from,sourcebus,sourcebus
transformer,subxf,to,800,800
transformer,xfm1,from,832,832
transformer,xfm1,to,888,888
transformer,reg1a,from,814,814
transformer,reg1a,to,814r,814r
transformer,reg1b,from,814,814
transformer,reg1b,to,814r,814r
transformer,reg1c,from,814,814
transformer,reg1c,to,814r,814r
transformer,reg2a,from,852,852
transformer,reg2a,to,852r,852r
transformer,reg2b,from,852,852
transformer,reg2b,to,852r,852r
transformer,reg2c,from,852,852
transformer,reg2c,to,852r,852r
regulator,creg1a,from,814,814
regulator,creg1a,regulated,814r,814r
regulator,creg1b,from,814,814
regulator,creg1b,regulated,814r,814r
regulator,creg1c,from,814,814
regulator,creg1c,regulated,814r,814r
regulator,creg2a,from,852,852
regulator,creg2a,regulated,852r,852r
regulator,creg2b,from,852,852
regulator,creg2b,regulated,852r,852r
regulator,creg2c,from,852,852
regulator,creg2c,regulated,852r,852r
phase_shift,subxf,from,sourcebus,sourcebus
phase_shift,subxf,to,800,800
