bus_id,phase,v_re_pu,v_im_pu,v_mag_pu,v_angle_deg
Sourcebus,a,1.0496,0,1.0496,0
Sourcebus,b,-0.5248,-0.908980263812147,1.0496,-120
Sourcebus,c,-0.52485,0.909066866352525,1.0497,120
1,a,0.895516689549655,-0.53739286387104,1.04438557602137,-30.9676540270721
1,b,-0.913376749913457,-0.502794602421852,1.04262145551826,-151.168145404958
1,c,0.0134087007542195,1.04488349108002,1.04496952261178,89.2647794701078
10,a,0.888246100359518,-0.52745065757237,1.03304662575191,-30.7023233509058
10,b,-0.89688512549966,-0.495226302473398,1.02452526518579,-151.094168239038
10,c,0.0141015346732175,1.03786559515597,1.03796138988336,89.221567116032
100,a,0.886066287954428,-0.524469861373186,1.02965144691694,-30.6216358620777
100,b,-0.89194073288758,-0.492957232707289,1.01910014437368,-151.071477069112
100,c,0.0143092548361602,1.03576154331191,1.03586038121836,89.2084975910514
101,a,0.8617241589272,-0.490331107084978,0.991460095341195,-29.6403815355016
101,b,-0.82473037688781,-0.465838063678852,0.947198657164151,-150.540640395623
101,c,0.0185372699029181,1.00381628580198,1.00398743319662,88.9420508167933
102,a,0.873470220460176,-0.5066921393175,1.00979559816672,-30.1176308119087
102,b,-0.858352067212076,-0.478937825539875,0.982929149033697,-150.8396345999
102,c,0.0163699159834274,1.02045990625851,1.02059119848763,89.0809568810291
103,a,0.886066287954429,-0.524469861373186,1.02965144691694,-30.6216358620777
103,b,-0.891940732887579,-0.492957232707289,1.01910014437368,-151.071477069112
103,c,0.0143092548361602,1.03576154331191,1.03586038121836,89.2084975910514
104,a,0.861726256540531,-0.49033051001953,0.991461623194448,-29.6402915969113
104,b,-0.824715018233389,-0.465827721023065,0.947180197730739,-150.540728223559
104,c,0.0185453610909411,1.00380988416486,1.00398118207716,88.941582397536
105,a,0.861573102323629,-0.490148202243113,0.991238352168498,-29.6355108088277
105,b,-0.824392265026343,-0.465700125557643,0.946836423876727,-150.537845785135
105,c,0.0185440348448105,1.00363059988604,1.00380190389137,88.9414690569426
106,a,0.873470220460176,-0.5066921393175,1.00979559816673,-30.1176308119086
106,b,-0.858352067212076,-0.478937825539875,0.982929149033697,-150.8396345999
106,c,0.0163699159834281,1.02045990625851,1.02059119848763,89.0809568810291
107,a,0.861728794363165,-0.49032978765274,0.991463471689288,-29.6401827840002
107,b,-0.824696436381223,-0.465815207836977,0.947157864366915,-150.540834487817
107,c,0.018555150311765,1.00380213906744,1.00397361917506,88.9410156670846
108,a,0.861487445739961,-0.490044486129284,0.991112615979272,-29.6327478969891
108,b,-0.824200538837176,-0.465621907803893,0.946631020644489,-150.536260152195
108,c,0.0185478709022722,1.00352530676532,1.00369669962267,88.9411390747074
109,a,0.873470220460178,-0.506692139317499,1.00979559816673,-30.1176308119085
109,b,-0.858352067212076,-0.478937825539875,0.982929149033697,-150.8396345999
109,c,0.0163699159834291,1.02045990625851,1.02059119848764,89.080956881029
11,a,0.888106321414025,-0.527259516101443,1.0328288509986,-30.6971652412604
11,b,-0.896568069782476,-0.495080799962073,1.02417737831128,-151.092720396938
11,c,0.0141148545833466,1.03773067430345,1.03782666255507,89.2207306297205
110,a,0.861731735880715,-0.490328950378078,0.991465614231204,-29.6400566625782
110,b,-0.824674898688429,-0.465800704161271,0.947131978408451,-150.540957661946
110,c,0.0185664967173287,1.00379316194679,1.00396485335469,88.9403587753618
111,a,0.858107665497836,-0.48595212501356,0.986153250459248,-29.5231685539978
111,b,-0.816635534977634,-0.462535643942009,0.938526940958572,-150.473141360891
111,c,0.0186992314943174,0.999370721165552,0.999545646572198,88.9280634134647
112,a,0.873470220460209,-0.506692139317477,1.00979559816674,-30.1176308119066
112,b,-0.858352067212073,-0.478937825539876,0.982929149033695,-150.8396345999
112,c,0.0163699159834559,1.02045990625857,1.02059119848769,89.0809568810275
113,a,0.861736220822126,-0.490327673782667,0.991468880981103,-29.6398643658837
113,b,-0.824642060097925,-0.465778590359581,0.947092510011513,-150.541145478902
113,c,0.0185837966189277,1.00377947450164,1.00395148833375,88.9393571883297
114,a,0.857769085081359,-0.485542159503475,0.985656629854743,-29.5121303311139
114,b,-0.815877686249634,-0.462226467478199,0.937715151929108,-150.466758112311
114,c,0.0187143945311486,0.998954522116535,0.999129804289584,88.9267475294512
115,a,0.873470220460237,-0.506692139317457,1.00979559816676,-30.1176308119048
115,b,-0.85835206721207,-0.478937825539877,0.982929149033693,-150.8396345999
115,c,0.0163699159834794,1.02045990625861,1.02059119848774,89.0809568810263
116,a,0.861741986822069,-0.490326032546273,0.991473080847189,-29.6396171442862
116,b,-0.824599841639827,-0.465750160070834,0.947041768053783,-150.541386966051
