bus_id,super_node,kept
sourcebus,sourcebus,1
1,1,1
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,15,1
16,15,0
17,15,0
18,15,0
19,15,0
20,15,0
21,15,0
22,15,0
23,15,0
24,15,0
25,15,0
26,15,0
27,15,0
28,15,0
29,15,0
30,15,0
31,15,0
32,15,0
33,15,0
34,15,0
35,15,0
36,15,0
37,37,1
38,15,0
39,15,0
40,15,0
41,15,0
42,37,0
43,43,1
44,15,0
45,15,0
46,15,0
47,15,0
48,37,0
49,43,0
50,15,0
51,15,0
52,15,0
53,37,0
54,37,0
55,43,0
56,15,0
57,15,0
58,15,0
59,37,0
60,37,0
61,43,0
62,15,0
63,15,0
64,15,0
65,37,0
66,37,0
67,37,0
68,43,0
69,15,0
70,15,0
71,15,0
72,37,0
73,37,0
74,37,0
75,37,0
76,43,0
77,15,0
78,15,0
79,37,0
80,37,0
81,43,0
82,15,0
83,15,0
84,37,0
85,37,0
86,43,0
87,15,0
88,37,0
89,37,0
90,43,0
91,15,0
92,37,0
93,43,0
94,15,0
95,37,0
96,43,0
97,15,0
98,37,0
99,43,0
100,15,0
101,101,1
102,43,0
103,15,0
104,101,0
105,101,0
106,43,0
107,101,0
108,101,0
109,43,0
110,101,0
111,101,0
112,43,0
113,101,0
114,114,1
115,43,0
116,101,0
117,114,0
118,114,0
119,43,0
120,101,0
121,114,0
122,114,0
123,114,0
124,43,0
125,101,0
126,114,0
127,114,0
128,114,0
129,43,0
130,101,0
131,114,0
132,114,0
133,114,0
134,114,0
135,43,0
136,101,0
137,114,0
138,114,0
139,114,0
140,114,0
141,43,0
142,101,0
143,114,0
144,114,0
145,145,1
146,114,0
147,43,0
148,101,0
149,114,0
150,114,0
151,145,0
152,145,0
153,114,0
154,43,0
155,101,0
156,114,0
157,114,0
158,145,0
159,145,0
160,114,0
161,43,0
162,101,0
163,101,0
164,114,0
165,114,0
166,145,0
167,145,0
168,114,0
169,43,0
170,101,0
