bus_id,super_node,kept
Sourcebus,Sourcebus,1
1,1,1
10,7,0
100,91,0
101,101,1
102,96,0
103,91,0
104,104,1
105,101,0
106,96,0
107,104,0
108,101,0
109,96,0
11,7,0
110,104,0
111,111,1
112,96,0
113,104,0
114,114,1
115,96,0
116,104,0
117,117,1
118,114,0
119,96,0
12,7,0
120,104,0
121,117,0
122,117,0
123,123,1
124,124,1
125,104,0
126,117,0
127,127,1
128,123,0
129,124,0
13,7,0
130,104,0
131,117,0
132,127,0
133,127,0
134,123,0
135,124,0
136,104,0
137,117,0
138,127,0
139,127,0
14,7,0
140,140,1
141,124,0
142,104,0
143,117,0
144,127,0
145,145,1
146,140,0
147,124,0
148,104,0
149,117,0
15,15,1
150,127,0
151,145,0
152,145,0
153,140,0
154,124,0
155,155,1
156,117,0
157,127,0
158,145,0
159,145,0
16,15,0
160,140,0
161,124,0
162,162,1
163,163,1
164,117,0
165,127,0
166,166,1
167,145,0
168,140,0
169,124,0
17,17,1
170,162,0
171,163,0
172,117,0
173,127,0
174,166,0
175,166,0
176,145,0
177,140,0
178,162,0
179,163,0
18,15,0
180,163,0
181,117,0
182,127,0
183,166,0
184,166,0
185,145,0
186,140,0
187,163,0
188,188,1
189,189,1
19,17,0
190,127,0
191,166,0
192,166,0
193,166,0
194,145,0
195,140,0
196,163,0
197,188,0
198,188,0
199,189,0
2,1,0
20,15,0
200,127,0
201,166,0
202,166,0
203,166,0
204,145,0
205,205,1
206,163,0
207,163,0
208,188,0
209,188,0
21,17,0
210,189,0
211,211,1
212,212,1
213,166,0
214,145,0
215,205,0
216,163,0
217,163,0
218,188,0
219,189,0
22,15,0
220,211,0
221,212,0
222,166,0
223,145,0
224,205,0
225,163,0
226,163,0
227,188,0
228,211,0
229,212,0
23,17,0
230,166,0
231,145,0
232,205,0
233,163,0
234,163,0
235,188,0
236,211,0
237,212,0
238,166,0
239,239,1
24,15,0
240,205,0
241,163,0
242,188,0
243,211,0
244,212,0
245,166,0
246,239,0
247,247,1
248,163,0
249,163,0
25,25,1
250,188,0
